Sr. No.,Job Title,Company Name,Experience Required,Salary,Location,Job Description,Key Skills
136,newData Science Engineer,iamneo.ai,,,"Coimbatore, Tamil Nadu","
Data is key for any decision making and identifying patterns from lot of data is critical for making right decisions at the right time.
",
137,newData Engineer,Awign Expert,,,"Remote in Bengaluru, Karnataka","
Timings: *Full Time (As per company timings).
Notice Period: *1 month or less (Immediate Joiner - Preferred).
The candidate must have hands on experience in the…
",
138,"ASIC Logical Equivalence Engineer, Device and Services",Google,,,"Bengaluru, Karnataka","
Bachelor's degree in Electrical Engineering or equivalent practical experience.
3 years of industry experience with Formal Verification or Logical Equivalence.
",
139,newIN_RBAI_Maintenance Engineer_Final Assembly_ Soldering,Bosch Group,,,"Bengaluru, Karnataka","
RBAI has consistently added an average of one product every year resulting in a wide range of products comprising – Engine Control Units (ECU) for both 4W and…
",
140,"newASIC RTL IP Design Engineer, Devices and Services",Google,,,"Bengaluru, Karnataka","
Bachelor's degree in electrical engineering, computer science, or equivalent practical experience.
4 years of experience in IP or sub-system level RTL Design.
",
141,QE Engineer,Drishti,,,Remote,"
The QA Engineer will be part of high performing Functional Test engineers focused on Feature testing , Regression Testing and all Test methodologies around…
",
142,Applied ML engineer,sybill,,,"Bengaluru, Karnataka","
3+ years of experience as an ML engineer, data scientist, CV/NLP researcher, or in a related role.
Sybill joins your calls with you and provides insights into…
",
143,newSoftware Engineer,Impress AI,,,"Remote in Ernakulam, Kerala","
They should also have the ability to architect engineering solutions that require minimal input from senior software engineers in order to satisfy the business…
",
144,newReact Native Engineer [2+ years],Emitrr Technologies Pvt. Ltd,,,"Remote in Bengaluru, Karnataka","
With Emitrr, small businesses can spend time growing their business by bringing everything under one platform - Reputation, Text messaging, Phone Systems, Forms…
",
145,MBOS_Data Science Engineer - Image Database,Mercedes-Benz Research and Development India...,,,"Bengaluru, Karnataka","
Assemble large, complex data sets that are analysis/training ready for the machine learning engineers/researchers.
B.E. / B. Tech in Computer Science.
",
146,newSystem Test Engineer,IBM,,,"Bengaluru, Karnataka","
Software Developers at IBM are the backbone of our strategic initiatives to design, code, test, and provide industry-leading solutions that make the world run…
",
147,DevOps Engineer - Linux / Kubernetes,Enterprise Bot,,,"Bengaluru, Karnataka","
Our suite of products include AI-chatbots (mainly for sales and customer service), email triage bots and an AI scheduling assistant.
",
148,newJr. Software Engineer (Data Engineering-Python),Konverge.AI,,,"Pune, Maharashtra","
1+ years work experience as a Python Developer.
Expertise in at least one Python framework (like Django or Flask).
",
149,Technical Support Engineer (Open for Freshers),Samespace India Pvt. Ltd.,,,"Mumbai, Maharashtra","
The Samespace is looking for a customer focused Technical Support Engineer with a proven track record of providing excellent customer or technical support.
",
150,newAssociate Electronics Engineer,Botloka,,,"Bengaluru, Karnataka","
Associate Electronics Engineer - JDWe are looking for an electronics/hardware engineer with 2-4 years of experience who has strong fundamentals in analog…
",
